company_id	company_name	company_type	drug_id	name	phase_highest	indications	technologies	therapy_areas	termination_phase
1051398	Tetragenetics Inc	subsidiary	84249	antimalarial vaccine, Tetragenetics	No Development Reported	[]	['Biological therapeutic']	['Infection']	Discovery
1051398	Tetragenetics Inc	subsidiary	75394	recombinant H5N1 vaccine (G-SOME nanoparticle), Tetragenetics	No Development Reported	[]	['Biological therapeutic', 'Nanoparticle formulation', 'Parenteral formulation unspecified', 'Protein recombinant']	['Infection']	Discovery
1051398	Tetragenetics Inc	subsidiary	102216	Nav1.6 / Kv10.1 ion channel targeting mAbs (pain/ autoimmune disorder), Tetragenetics	No Development Reported	[]	['Biological therapeutic', 'Monoclonal antibody']	['Neurology/Psychiatric', 'Immune']	Discovery
1156628	Accutar Biotech	ancestor	151059	AC-699	Phase 1 Clinical	['Metastatic breast cancer']	['Oral formulation', 'Small molecule therapeutic']	['Cancer']	
1156628	Accutar Biotech	ancestor	140970	AC-0676	Phase 1 Clinical	['Acute lymphoblastic leukemia', 'Autoimmune disease', 'B-cell lymphoma', 'Chronic lymphocytic leukemia', 'Diffuse large B-cell lymphoma', 'Follicle center lymphoma', 'Hematological neoplasm', 'Lymphoplasmacytic lymphoma', 'Mantle cell lymphoma', 'Small lymphocytic lymphoma', 'Splenic marginal zone lymphoma']	['Oral formulation', 'Proteolysis targeting chimera agent', 'Small molecule therapeutic']	['Cancer', 'Immune']	
1156628	Accutar Biotech	ancestor	139290	AC-0176	Phase 1 Clinical	['Hormone refractory prostate cancer']	['Biological therapeutic', 'Capsule formulation', 'Oral formulation', 'Protein chimeric', 'Receptor chimeric']	['Cancer']	
1156628	Accutar Biotech	ancestor	138190	small molecule therapeutic (lung cancer), Accutar Biotechnology	Discovery	['Lung tumor']	['Small molecule therapeutic']	['Cancer']	
1156628	Accutar Biotech	ancestor	138189	undisclosed drug (solid tumor), Accutar Biotechnology	Discovery	['Solid tumor']	['Small molecule therapeutic']	['Cancer']	
1156628	Accutar Biotech	ancestor	129505	AC-682	Phase 1 Clinical	['Metastatic breast cancer']	['Biological therapeutic', 'Oral formulation', 'Protein chimeric', 'Receptor chimeric']	['Cancer']	
1080710	Adagene	ancestor	144771	ADG-138	Preclinical	['Solid tumor']	['Biological therapeutic', 'Bispecific T cell engager antibody', 'Immuno-oncology', 'Systemic formulation unspecified']	['Cancer']	
1080710	Adagene	ancestor	142128	ADG-206	Phase 1 Clinical	['Advanced solid tumor', 'Cancer']	['Antibody therapy', 'Biological therapeutic', 'Immuno-oncology', 'Infusion', 'Intravenous formulation', 'Prodrug']	['Cancer']	
1080710	Adagene	ancestor	142076	CD28 TCE	Preclinical	['Cancer']	['Biological therapeutic', 'Bispecific T cell engager antibody', 'Immuno-oncology', 'Prodrug']	['Cancer']	
1080710	Adagene	ancestor	139172	ADG-153	Preclinical	['Cancer', 'Hematological neoplasm', 'Solid tumor']	['Biological therapeutic', 'Immuno-oncology', 'Immunoglobulin G isotype antibody', 'Monoclonal antibody human', 'Prodrug']	['Cancer']	
1080710	Adagene	ancestor	138826	ADG-152	Preclinical	['Cancer']	['Biological therapeutic', 'Bispecific T cell engager antibody', 'Immuno-oncology', 'Infusion', 'Intravenous formulation', 'Prodrug']	['Cancer']	
1080710	Adagene	ancestor	129944	BC-006, Dragonboat Biopharmaceutical	Phase 1 Clinical	['Advanced solid tumor', 'Asthma', 'Autoimmune disease', 'Benign tumor']	['Biological therapeutic', 'Immunoglobulin G isotype antibody', 'Injectable formulation', 'Monoclonal antibody humanized', 'Systemic formulation unspecified']	['Immune', 'Respiratory', 'Cancer']	
1080710	Adagene	ancestor	129069	ADG-126	Phase 2 Clinical	['Advanced solid tumor']	['Biological therapeutic', 'Immuno-oncology', 'Immunoglobulin G isotype antibody', 'Infusion', 'Intravenous formulation', 'Monoclonal antibody human']	['Cancer']	
1080710	Adagene	ancestor	119189	ADG-116	Phase 2 Clinical	['Advanced solid tumor', 'Non-Hodgkin lymphoma']	['Biological therapeutic', 'Immuno-oncology', 'Infusion', 'Intravenous formulation', 'Monoclonal antibody human']	['Cancer']	
1080710	Adagene	ancestor	116059	masked ADC (undisclosed target, SAFEbody, PBD-based payload, solid tumor), Adagene/ ADC Therapeutics	Discovery	['Solid tumor']	['Antibody drug conjugate', 'Biological therapeutic']	['Cancer']	
1080710	Adagene	ancestor	112326	ADG-104	Phase 2 Clinical	['Cancer', 'Metastatic bladder cancer', 'Metastatic renal cancer', 'Penis tumor']	['Biological therapeutic', 'Immuno-oncology', 'Immunoglobulin G isotype antibody', 'Intravenous formulation', 'Monoclonal antibody human']	['Cancer']	
1080710	Adagene	ancestor	111497	ADG-106	Phase 2 Clinical	['Advanced solid tumor', 'Breast tumor', 'Metastatic non small cell lung cancer', 'Non-Hodgkin lymphoma']	['Biological therapeutic', 'Immuno-oncology', 'Immunoglobulin G isotype antibody', 'Infusion', 'Intravenous formulation', 'Monoclonal antibody human']	['Cancer']	
1084743	AI Therapeutics	ancestor	99989	apilimod dimesylate (capsule, B-cell non-Hodgkins lymphoma/Chronic lymphocytic leukemia/amyotrophic lateral sclerosis), AI Therapeutics	Phase 2 Clinical	['Chronic lymphocytic leukemia', 'Coronavirus disease 19 infection', 'Diffuse large B-cell lymphoma', 'Follicle center lymphoma', 'Mantle cell lymphoma', 'Marginal zone B-cell lymphoma', 'Motor neurone disease', 'Non-Hodgkin lymphoma', 'Primary mediastinal large B-cell lymphoma', 'Small lymphocytic lymphoma']	['Capsule formulation', 'Immuno-oncology', 'Oral formulation', 'Small molecule therapeutic']	['Infection', 'Cancer', 'Neurology/Psychiatric']	
1084743	AI Therapeutics	ancestor	67349	AIT-102	Preclinical	['Colorectal tumor', 'Ewing sarcoma', 'Lung tumor', 'Soft tissue sarcoma', 'Solid tumor']	['Intravenous formulation', 'Natural product', 'Small molecule therapeutic']	['Cancer']	
1084743	AI Therapeutics	ancestor	121780	rapamycin (topical, tuberous sclerosis complex -facial angiofibroma, skin disease), AI Therapeutics	Phase 2 Clinical	['Dermatological disease', 'Tuberous sclerosis']	['Dermatological formulation', 'Small molecule therapeutic']	['Dermatologic', 'Neurology/Psychiatric']	
1084743	AI Therapeutics	ancestor	100835	sirolimus (inhaled, lymphangioleiomyomatosis/pulmonary artery hypertension/tuberous sclerosis complex), AI Therapeutics	Phase 2 Clinical	['Bronchiolitis', 'Bronchiolitis obliterans syndrome', 'Lymphangioleiomyomatosis', 'Pulmonary artery hypertension', 'Sarcoidosis', 'Tuberous sclerosis']	['Inhalant formulation', 'Small molecule therapeutic']	['Cancer', 'Cardiovascular', 'Respiratory', 'Inflammatory', 'Neurology/Psychiatric']	
1084743	AI Therapeutics	ancestor	121781	LAM–005	No Development Reported	[]	['Small molecule therapeutic']	['Unknown']	Preclinical
1084743	AI Therapeutics	ancestor	105730	LAM-003	No Development Reported	[]	['Oral formulation', 'Small molecule therapeutic']	['Cancer']	Phase 1 Clinical
1196876	ArsenalBio	ancestor	164387	integrated circuit CAR T-cells (AND logic-gated CAR + SPA.I, solid tumors), Arsenal Biosciences	Preclinical	['Solid tumor']	['Biological therapeutic', 'Chimeric antigen receptor T cell therapy', 'Immuno-oncology', 'Infusion', 'Intravenous formulation', 'Protein fusion', 'Receptor chimeric', 'T-lymphocyte']	['Cancer']	
1196876	ArsenalBio	ancestor	164263	AB-2100	Preclinical	['Renal cell carcinoma']	['Biological therapeutic', 'Chimeric antigen receptor T cell therapy', 'Immuno-oncology', 'Infusion', 'Intravenous formulation', 'Protein fusion', 'Receptor chimeric', 'T-lymphocyte']	['Cancer']	
1196876	ArsenalBio	ancestor	138548	AB-1015	Phase 1 Clinical	['Fallopian tube tumor', 'Metastatic ovary cancer', 'Ovary tumor', 'Peritoneal tumor']	['Biological therapeutic', 'Chimeric antigen receptor T cell therapy', 'Immuno-oncology', 'Infusion', 'Intravenous formulation', 'Protein fusion', 'Receptor chimeric', 'T-lymphocyte']	['Cancer']	
1139692	Atomwise	ancestor	143127	undisclosed drug program (Rett Syndrome), Vyant Bio Inc/Atomwise Inc	Preclinical	['Rett syndrome']	['Small molecule therapeutic']	['Neurology/Psychiatric']	
1138966	BenevolentAI	ancestor	148583	drug candidate (cancer), BenevolentAI	Discovery	['Cancer']	['Small molecule therapeutic']	['Cancer']	
1138966	BenevolentAI	ancestor	148579	drug candidate (idiopathic pulmonary fibrosis), BenevolentAI/AstraZeneca	Discovery	['Idiopathic pulmonary fibrosis']	['Small molecule therapeutic']	['Respiratory']	
1138966	BenevolentAI	ancestor	148577	drug candidate (Parkinson’s disease), BenevolentAI	Discovery	['Parkinsons disease']	['Small molecule therapeutic']	['Neurology/Psychiatric']	
1138966	BenevolentAI	ancestor	143747	undisclosed program (CNS disease), BenevolentAI	Discovery	['Central nervous system disease']	['Small molecule therapeutic']	['Neurology/Psychiatric']	
1138966	BenevolentAI	ancestor	142495	HTL-30023	Preclinical	['Intestine disease', 'Non-alcoholic steatohepatitis']	['Biological therapeutic', 'Parenteral formulation unspecified', 'Peptide']	['Gastrointestinal']	
1138966	BenevolentAI	ancestor	141352	undisclosed drug target (antiviral), BenevolentAI	Discovery	['Unidentified indication']	['Small molecule therapeutic']	['Unknown']	
1138966	BenevolentAI	ancestor	140688	undisclosed target program (chronic kidney disease) , AstraZeneca/BenevolentAI	Discovery	['End stage renal disease']	['Small molecule therapeutic']	['Genitourinary/Sexual Function']	
1138966	BenevolentAI	ancestor	140273	undisclosed program (non alcoholic steatohepatitis), BenevolentAI	Discovery	['Non-alcoholic steatohepatitis']	['Small molecule therapeutic']	['Gastrointestinal']	
1138966	BenevolentAI	ancestor	140269	BEN-28010	Preclinical	['Glioblastoma']	['Oral formulation', 'Small molecule therapeutic']	['Cancer']	
1138966	BenevolentAI	ancestor	140261	undisclosed program (inflammatory bowel disease), BenevolentAI	Discovery	['Inflammatory bowel disease']	['Small molecule therapeutic']	['Gastrointestinal']	
1138966	BenevolentAI	ancestor	138085	BEN-8744	Phase 1 Clinical	['Ulcerative colitis']	['Oral formulation', 'Small molecule therapeutic']	['Gastrointestinal']	
1138966	BenevolentAI	ancestor	137787	repurposed vandetanib + everolimus (diffuse intrinsic pontine glioma), BenevolentAI/Institute of Cancer Research UK	Clinical	['Glioma']	['Oral formulation', 'Small molecule therapeutic']	['Cancer']	
1138966	BenevolentAI	ancestor	125571	BEN-1391	Preclinical	['Insomnia']	['Small molecule therapeutic']	['Neurology/Psychiatric']	
1138966	BenevolentAI	ancestor	116591	BEN-9160	Preclinical	['Motor neurone disease']	['Oral formulation', 'Small molecule therapeutic']	['Neurology/Psychiatric']	
1138966	BenevolentAI	ancestor	125572	BEN-2293	Discontinued	[]	['Dermatological formulation', 'Small molecule therapeutic']	['Dermatologic']	Phase 2 Clinical
1141944	BenevolentBio	subsidiary	59161	bavisant	Phase 2 Clinical	['Hypersomnia']	['Oral formulation', 'Small molecule therapeutic']	['Neurology/Psychiatric', 'Toxicity/Intoxication']	
1141944	BenevolentBio	subsidiary	112212	BEN-1589	Discovery	['Allergic rhinitis']	['Small molecule therapeutic']	['Immune']	
1141944	BenevolentBio	subsidiary	106416	BEN-34712	Preclinical	['Motor neurone disease']	['Oral formulation', 'Small molecule therapeutic']	['Neurology/Psychiatric']	
1141944	BenevolentBio	subsidiary	104068	Alzheimer's disease therapy, BenevolentBio	No Development Reported	[]	['Small molecule therapeutic']	['Neurology/Psychiatric']	Discovery
1184789	BIOAGE LABS	ancestor	59000	asapiprant	Phase 2 Clinical	['Aging', 'Coronavirus disease 19 infection', 'Infectious disease', 'Influenza virus infection', 'Respiratory syncytial virus infection']	['Oral formulation', 'Small molecule therapeutic', 'Tablet formulation']	['Other/Miscellaneous', 'Immune', 'Infection']	
1184789	BIOAGE LABS	ancestor	162284	Unspecified drug target (brain aging), BioAge Labs	Discovery	['Aging']	['Small molecule therapeutic']	['Other/Miscellaneous']	
1184789	BIOAGE LABS	ancestor	162283	APJ agonist (brain aging), BioAge Labs	Discovery	['Aging']	['Small molecule therapeutic']	['Other/Miscellaneous']	
1184789	BIOAGE LABS	ancestor	159303	NLRP3 inhibitor (ocular topical, Dry eye disease), BioAge Labs	Discovery	['Aging', 'Ocular inflammation', 'Xerophthalmia']	['Ophthalmic formulation', 'Ophthalmic liquid formulation', 'Small molecule therapeutic']	['Ocular', 'Other/Miscellaneous']	
1184789	BIOAGE LABS	ancestor	159204	azelaprag (oral, prevention of muscle aging), BioAge Labs	Phase 1 Clinical	['Aging', 'Atrophy']	['Oral formulation', 'Small molecule therapeutic']	['Musculoskeletal', 'Other/Miscellaneous']	
1184789	BIOAGE LABS	ancestor	145361	NLRP3 inhibitor progam (oral, inflammatory diseases/age-related disease/parkinson's disease), BioAge Labs	Preclinical	['Aging', 'Inflammatory disease', 'Parkinsons disease']	['CNS formulation', 'Oral formulation', 'Small molecule therapeutic']	['Other/Miscellaneous', 'Neurology/Psychiatric', 'Inflammatory']	
1184789	BIOAGE LABS	ancestor	104209	BGE-117	Phase 2 Clinical	['Aging', 'Anemia']	['Capsule formulation', 'Oral formulation', 'Small molecule therapeutic']	['Other/Miscellaneous', 'Hematologic']	
1184789	BIOAGE LABS	ancestor	103960	azelaprag (iv, prevention of muscle aging), BioAge Labs	Phase 1 Clinical	['Aging', 'Atrophy', 'Myopathy']	['Infusion', 'Intravenous formulation', 'Small molecule therapeutic']	['Cardiovascular', 'Other/Miscellaneous', 'Neurology/Psychiatric', 'Musculoskeletal']	
1102582	BioXcel Therapeutics	ancestor	171027	BXCL-504	Discovery	['Neurological disease']	['Small molecule therapeutic', 'Systemic formulation unspecified']	['Neurology/Psychiatric']	
1102582	BioXcel Therapeutics	ancestor	171025	BXCL-503	Discovery	['Neurological disease']	['Small molecule therapeutic', 'Systemic formulation unspecified']	['Neurology/Psychiatric']	
1102582	BioXcel Therapeutics	ancestor	100906	BXCL-502	Preclinical	['Agitation', 'Alzheimers disease', 'Central nervous system disease', 'Dementia', 'Psychiatric disorder']	['Small molecule therapeutic']	['Neurology/Psychiatric']	
1102582	BioXcel Therapeutics	ancestor	100905	dexmedetomidine (sublingual, agitation), BioXcel Therapeutics	Launched	['Agitation', 'Alcohol withdrawal syndrome', 'Alzheimers disease', 'Bipolar I disorder', 'Bipolar II disorder', 'Delirium', 'Dementia', 'Drug withdrawal syndrome', 'Major depressive disorder', 'Opiate dependence', 'Post traumatic stress disorder', 'Schizoaffective disorder', 'Schizophrenia', 'Schizophreniform disorder']	['Buccal formulation systemic', 'Film coating', 'Oral formulation', 'Small molecule therapeutic']	['Neurology/Psychiatric', 'Toxicity/Intoxication']	
1102582	BioXcel Therapeutics	ancestor	106446	BXCL-904	No Development Reported	[]	['Small molecule therapeutic', 'Systemic formulation unspecified']	['Endocrine/Metabolic']	Preclinical
1102582	BioXcel Therapeutics	ancestor	106443	BXCL-903	No Development Reported	[]	['Small molecule therapeutic']	['Neurology/Psychiatric']	Discovery
1102582	BioXcel Therapeutics	ancestor	106442	BXCL-902	No Development Reported	[]	['Small molecule therapeutic']	['Neurology/Psychiatric']	Preclinical
1102582	BioXcel Therapeutics	ancestor	106440	BXCL-901	No Development Reported	[]	['Small molecule therapeutic']	['Hematologic']	Preclinical
1102582	BioXcel Therapeutics	ancestor	106439	sodium stibogluconate (hematological malignancies), BioXcel	No Development Reported	[]	['Intravenous formulation', 'Small molecule therapeutic']	['Cancer']	Phase 1 Clinical
1102582	BioXcel Therapeutics	ancestor	106046	talabostat (cancer), BioXcel	Phase 2 Clinical	['Hormone refractory prostate cancer', 'Metastatic pancreas cancer', 'Pancreas tumor', 'Pancreatic ductal adenocarcinoma', 'Prostate tumor', 'Small-cell lung cancer']	['Oral formulation', 'Small molecule therapeutic']	['Cancer']	
1102582	BioXcel Therapeutics	ancestor	100907	bortezomib (neurofibromatosis type 2), BioXcel	No Development Reported	[]	['Small molecule therapeutic', 'Subcutaneous formulation']	['Cancer']	Phase 1 Clinical
1213568	Cellarity	ancestor	139546	CLT-1081	Preclinical	['Sickle cell anemia']	['Small molecule therapeutic']	['Hematologic']	
1164801	Celsius Therapeutics	ancestor	146261	undisclosed T/NK cells checkpoint inhibitor (solid tumor), Celsius Therapeutics	Discovery	['Solid tumor']	['Biological therapeutic', 'Immuno-oncology']	['Cancer']	
1164801	Celsius Therapeutics	ancestor	145448	Ledenika mAb program (solid tumor), Celsius Therapeutics	Discovery	['Solid tumor']	['Biological therapeutic', 'Monoclonal antibody']	['Cancer']	
1164801	Celsius Therapeutics	ancestor	145411	Myeloid activating target (inflammatory bowel disease/ulcerative colitis /crohn's disease), Celsius Therapeutics	Discovery	['Crohns disease', 'Inflammatory bowel disease', 'Ulcerative colitis']	['Small molecule therapeutic']	['Gastrointestinal']	
1164801	Celsius Therapeutics	ancestor	144501	Lassen mAb (solid tumor), Celsius Therapeutics	Discovery	['Breast tumor']	['Biological therapeutic', 'Monoclonal antibody', 'Parenteral formulation unspecified']	['Cancer']	
1164801	Celsius Therapeutics	ancestor	143709	undisclosed therapeutic (colorectal cancer), Celsius Therapeutics/Servier	Discovery	['Colorectal tumor']	['Small molecule therapeutic']	['Cancer']	
1164801	Celsius Therapeutics	ancestor	142671	CEL-383	Phase 1 Clinical	['Inflammatory bowel disease']	['Biological therapeutic', 'Intravenous formulation', 'Monoclonal antibody']	['Gastrointestinal']	
1100779	Circle Pharma	ancestor	98757	Wnt signaling/beta-catenin inhibitors (cancer), Circle/Pfizer	Discovery	['Cancer']	['Biological therapeutic', 'Immuno-oncology', 'Oral formulation', 'Parenteral formulation unspecified', 'Peptide']	['Cancer']	
1100779	Circle Pharma	ancestor	173124	CID-078	Preclinical	['Ovary tumor', 'Small-cell lung cancer']	['Biological therapeutic', 'Oral formulation', 'Peptide']	['Cancer']	
1100779	Circle Pharma	ancestor	113811	macrocyclic peptides targeting p53 (cancer), Circle Pharma	Discovery	['Cancer']	['Small molecule therapeutic']	['Cancer']	
1100779	Circle Pharma	ancestor	106063	macrocyclic peptides targeting cyclinA/cdk-2 (cancer), Circle Pharma	Preclinical	['Cancer', 'Small-cell lung cancer']	['Biological therapeutic', 'Parenteral formulation unspecified', 'Peptide']	['Cancer']	
1100779	Circle Pharma	ancestor	106062	macrocyclic peptides targeting Mcl-1 (cancer), Circle Pharma	Discovery	['Cancer']	['Biological therapeutic', 'Parenteral formulation unspecified', 'Peptide']	['Cancer']	
27293	Compugen	ancestor	69125	COM-701	Phase 2 Clinical	['Advanced solid tumor', 'Cancer', 'Endometrioid carcinoma', 'Fallopian tube cancer', 'Metastatic breast cancer', 'Metastatic colorectal cancer', 'Metastatic head and neck cancer', 'Metastatic liver cancer', 'Metastatic non small cell lung cancer', 'Metastatic ovary cancer', 'Multiple myeloma', 'Peritoneal tumor', 'Squamous cell carcinoma']	['Antibody fragment', 'Biological therapeutic', 'Immuno-oncology', 'Immunoglobulin G isotype antibody', 'Intravenous formulation', 'Monoclonal antibody humanized', 'Protein fusion']	['Immune', 'Cancer']	
27293	Compugen	ancestor	65492	CGEN-15001	Preclinical	['Autoimmune disease', 'Insulin dependent diabetes', 'Multiple sclerosis', 'Psoriasis', 'Rheumatoid arthritis']	['Antibody fragment', 'Biological therapeutic', 'Immuno-oncology', 'Immunoglobulin G isotype antibody', 'Parenteral formulation unspecified', 'Protein fusion']	['Immune', 'Hematologic', 'Endocrine/Metabolic', 'Dermatologic', 'Cancer']	
27293	Compugen	ancestor	148252	COM-503	Preclinical	['Cancer']	['Biological therapeutic', 'Human antibody therapy', 'Immuno-oncology', 'Systemic formulation unspecified']	['Cancer']	
27293	Compugen	ancestor	109958	bispecific/ multi-specific antibodies (cancer), MedImmune/ Compugen	Discovery	['Cancer']	['Biological therapeutic', 'Bispecific antibody', 'Multispecific antibody']	['Cancer']	
27293	Compugen	ancestor	106918	CGEN-15032 checkpoint inhibitor (cancer), Compugen	Preclinical	['Cancer']	['Antibody therapy', 'Biological therapeutic', 'Immuno-oncology', 'Parenteral formulation unspecified']	['Cancer']	
27293	Compugen	ancestor	104436	COM-902	Phase 1 Clinical	['Cancer', 'Colon tumor', 'Head and neck tumor', 'Lung tumor', 'Metastasis', 'Metastatic colorectal cancer', 'Multiple myeloma', 'Ovary tumor', 'Squamous cell carcinoma']	['Biological therapeutic', 'Immuno-oncology', 'Immunoglobulin G isotype antibody', 'Intravenous formulation', 'Monoclonal antibody human']	['Cancer']	
27293	Compugen	ancestor	97666	CGEN-XXXX checkpoint inhibitor (cancer), Compugen	No Development Reported	[]	['Biological therapeutic', 'Immuno-oncology', 'Monoclonal antibody', 'Parenteral formulation unspecified']	['Cancer']	Discovery
27293	Compugen	ancestor	97661	antibody drug conjugates (cancer), Compugen	No Development Reported	[]	['Antibody drug conjugate', 'Biological therapeutic']	['Cancer']	Discovery
27293	Compugen	ancestor	91597	CGEN-15052 checkpoint inhibitor (cancer), Compugen	No Development Reported	[]	['Antibody polyclonal', 'Biological therapeutic', 'Immuno-oncology', 'Parenteral formulation unspecified']	['Cancer']	Discovery
27293	Compugen	ancestor	89107	CGEN-15022 checkpoint inhibitor (cancer), Compugen/Bayer	Discontinued	[]	['Biological therapeutic', 'Immuno-oncology', 'Monoclonal antibody', 'Parenteral formulation unspecified']	['Cancer']	Discovery
27293	Compugen	ancestor	87587	CGEN-15049 checkpoint inhibitor (cancer), Compugen	No Development Reported	[]	['Biological therapeutic', 'Immuno-oncology', 'Monoclonal antibody', 'Parenteral formulation unspecified']	['Cancer']	Discovery
27293	Compugen	ancestor	86786	bapotulimab	No Development Reported	[]	['Antibody therapy', 'Biological therapeutic', 'Immuno-oncology', 'Intravenous formulation']	['Cancer']	Phase 1 Clinical
27293	Compugen	ancestor	77365	A-11, Compugen	No Development Reported	[]	['Biological therapeutic', 'Peptide']	['Cancer', 'Ocular']	Discovery
27293	Compugen	ancestor	75030	BL-7070	No Development Reported	[]	['Biological therapeutic', 'Parenteral formulation unspecified', 'Peptide']	['Cardiovascular', 'Inflammatory']	Discovery
27293	Compugen	ancestor	75029	BL-7060	No Development Reported	[]	['Biological therapeutic', 'Parenteral formulation unspecified', 'Peptide']	['Cardiovascular', 'Inflammatory']	Discovery
27293	Compugen	ancestor	70378	protein-protein interaction inhibitors (cancer), Compugen	No Development Reported	[]	['Biological therapeutic', 'Parenteral formulation unspecified', 'Peptide']	['Cancer']	Discovery
27293	Compugen	ancestor	70376	CGEN-25068	No Development Reported	[]	['Biological therapeutic', 'Parenteral formulation unspecified', 'Peptide']	['Immune']	Discovery
27293	Compugen	ancestor	69762	CGEN-973B	No Development Reported	[]	['Biological therapeutic', 'Monoclonal antibody', 'Parenteral formulation unspecified']	['Cancer']	Clinical
27293	Compugen	ancestor	69675	CGEN-913	No Development Reported	[]	['Biological therapeutic', 'Monoclonal antibody', 'Parenteral formulation unspecified']	['Cancer', 'Inflammatory']	Discovery
27293	Compugen	ancestor	69674	CGEN-920	No Development Reported	[]	['Biological therapeutic', 'Parenteral formulation unspecified']	['Cancer', 'Inflammatory']	Discovery
27293	Compugen	ancestor	69670	CGEN-712	No Development Reported	[]	['Biological therapeutic', 'Monoclonal antibody', 'Parenteral formulation unspecified']	['Cancer']	Discovery
27293	Compugen	ancestor	69666	CGEN-791	No Development Reported	[]	['Biological therapeutic', 'Monoclonal antibody', 'Parenteral formulation unspecified']	['Cancer']	Discovery
27293	Compugen	ancestor	69664	CGEN-973A	No Development Reported	[]	['Biological therapeutic', 'Monoclonal antibody', 'Parenteral formulation unspecified']	['Cancer']	Clinical
27293	Compugen	ancestor	69652	CGEN-243	No Development Reported	[]	['Biological therapeutic', 'Monoclonal antibody', 'Parenteral formulation unspecified']	['Cancer', 'Immune']	Clinical
27293	Compugen	ancestor	69638	Anti-CGEN-991 antibody (ovarian cancer), Compugen	No Development Reported	[]	['Biological therapeutic', 'Monoclonal antibody', 'Parenteral formulation unspecified']	['Cancer']	Discovery
27293	Compugen	ancestor	69618	Anti-CGEN-153 mAb (ovarian cancer), Compugen	No Development Reported	[]	['Biological therapeutic', 'Monoclonal antibody', 'Parenteral formulation unspecified']	['Cancer']	Discovery
1140964	Deep Genomics	ancestor	138131	oligonucleotide therapy (refractory gout), Deep Genomics	Discovery	['Gout']	['Biological therapeutic', 'Infusion', 'Intravenous formulation', 'Oligonucleotide']	['Inflammatory']	
1140964	Deep Genomics	ancestor	138130	oligonucleotide therapy (Parkinson's disease), Deep Genomics	Discovery	['Parkinsons disease']	['Biological therapeutic', 'Infusion', 'Intravenous formulation', 'Oligonucleotide']	['Neurology/Psychiatric']	
1140964	Deep Genomics	ancestor	138129	oligonucleotide therapy (Niemann-Pick type C disease), Deep Genomics	Discovery	['Niemann Pick disease type C']	['Biological therapeutic', 'Infusion', 'Intravenous formulation', 'Oligonucleotide']	['Endocrine/Metabolic']	
1140964	Deep Genomics	ancestor	138128	oligonucleotide therapy (frontotemporal dementia), Deep Genomics	Discovery	['Frontotemporal dementia']	['Biological therapeutic', 'Infusion', 'Intravenous formulation', 'Oligonucleotide']	['Neurology/Psychiatric']	
1140964	Deep Genomics	ancestor	138127	oligonucleotide therapy (pediatric epilepsy), Deep Genomics	Discovery	['Epilepsy']	['Biological therapeutic', 'Infusion', 'Intravenous formulation', 'Oligonucleotide']	['Neurology/Psychiatric']	
1140964	Deep Genomics	ancestor	119092	DG-12-P1	Preclinical	['Wilson disease']	['Biological therapeutic', 'Infusion', 'Intravenous formulation', 'Oligonucleotide']	['Gastrointestinal']	
