Id	name	set	organization_type	private_public	company_size
1108254	Hokkaido Information University	associated	Academic		
18563	Nissan Chemical Corp	associated	Company	Public	Medium
20686	University of Tokyo	associated	Academic		
1061958	PeptiDream Inc	associated	Company	Public	Small
21996	Qiagen NV	associated	Company	Public	Medium
1025348	Origenis GmbH	associated	Company		
1092501	Cystic Fibrosis Foundation	associated	Non-Profit		
1151255	Combating Antibiotic-Resistant Bacteria Biopharmaceutical Accelerator	associated	Non-Profit		
1207987	CereXis Inc	associated	Company		
1041928	National Institute on Aging	associated	Company		
1043068	Eunice Kennedy Shriver National Institute of Child Health & Human Development	associated	Non-Profit		
1060125	Ataxia Telangiectasia Children's Project Inc	associated	Non-Profit		
1072395	National Center For Advancing Translational Sciences	associated	Company		
1059692	Rett Syndrome Research Trust	associated	Non-Profit		
20690	University of Utah	associated	Academic		
20695	University of Virginia	associated	Academic		
1127211	Chromaderm, Inc	associated	Company		
1093776	Ohio State Innovation Foundation	associated	Non-Profit		
1130420	University of Utah Health	associated	Academic		
1138464	Continuum Analytics	associated	Company	Private	
16299	Sanofi Genzyme	associated	Company		
1088675	OncoSynergy Inc	associated	Company	Private	
22344	Central Institute For Experimental Animals	associated	Non-Profit		
1013783	Bio Tools Inc	associated	Others		
1180308	Orexia Therapeutics Ltd	associated	Company		
1101935	Zai Lab Limited	associated	Company	Public	
1201813	Triplet Therapeutics Inc	associated	Company	Private	
1079742	Viva Biotech	associated	Company		
1105437	Twist Bioscience Corp	associated	Company	Public	
14190	AstraZeneca plc	associated	Company	Public	Large
1177352	Bright Angel Therapeutics Inc	associated	Company		
1060303	Toronto Innovation Acceleration Partners	associated	Company		
29411	TB Alliance	associated	Non-Profit		
1122629	Wuxi AppTec (US) Inc	associated			
18681	Ono Pharmaceutical Co Ltd	associated	Company	Public	Large
1118067	Petra Pharma Corp	associated	Company	Private	
1126198	Morphic Therapeutic Inc	associated	Company	Public	
14233	Angelini Pharma SpA	associated	Company		
15921	Xenon Pharmaceuticals Inc	associated	Company	Public	
1035705	Sun Pharmaceutical Advanced Research Co Ltd	associated	Company	Public	Small
1060168	Centre for Drug Research and Development	associated	Non-Profit		
21237	Loma Linda University	associated	Academic		
1091296	BiOptix Diagnostics Inc	associated	Company	Private	
1235570	Novamind Inc	associated	Company	Public	Micro
1152645	Antengene Corporation Limited	associated	Company	Public	
1319980	Cancer Research Horizons	associated			
22542	Dr Falk Pharma GmbH	associated	Company		
1265276	Tyler Research Institute	associated	Company		
